Abomination_(character),5.868154481132080
Absorbing_Man,5.905497311827960
Achebe_(comics),5.466000000000000
Agent_(comics),5.704145021645020
Agent_X_(Marvel_Comics),5.789105382865810
Dmitri_Bukharin,5.578000000000000
Air-Walker,6.020416666666670
Liz_Allan,5.788505096262740
Amatsu-Mikaboshi_(comics),5.3933333333333300
American_Dream_(comics),6.163698523698520
American_Eagle_(Marvel_Comics),5.865884955752210
Anaconda_(comics),5.466000000000000
X-Statix,5.889682539682540
Ancient_One,5.7884125705076600
Andromeda_(Marvel_Comics),5.9876570458404100
Angel_(Thomas_Halloway),5.9839740259740300
Angel_Dust_(comics),6.46
Angela_(comics),5.466000000000000
Dirk_Anger,5.4725
Ani-Mator,5.186
Annex_(comics),5.98
Annihilus,5.7652205882352900
Anole_(comics),5.466000000000000
Anthem_(comics),5.711428571428570
Ant-Man,5.926689595872740
Anti-Venom_(symbiote),5.295000000000000
Apache_Kid_(comics),6.013564356435640
Apocalypse_(comics),5.466000000000000
Apollo_(Marvel_Comics),6.273333333333330
Aqueduct_(comics),5.4975
Arabian_Knight_(comics),5.950000000000000
Aragorn_(comics),5.746
Arcade_(Marvel_Comics),5.733412547528520
Arclight_(comics),5.784352189781020
Ares_(Marvel_Comics),5.763757131214340
Aries_(comics),5.466000000000000
Arkon,5.687323825503360
Armadillo_(comics),5.822869166029070
Armor_(comics),5.735
Arsenal_(Marvel_Comics),5.692178571428570
Gertrude_Yorkes,5.695479674796750
Asbestos_Man,5.955451505016720
Mike_Asher,5.859090909090910
Asp_(comics),5.466000000000000
Vance_Astro,5.896138790035590
Elders_of_the_Universe,6.060816847479260
Atalanta_(Pantheon),6.071000000000000
Athena_(Marvel_Comics),5.803478854024560
Erik_Josten,5.850173913043480
Attuma,5.862358722358720
Aurora_(comics),5.784098454493420
Avalanche_(comics),5.466000000000000
Awesome_Android,5.913857493857500
Azazel_(Marvel_Comics),5.970171755725190
Azzuri_(comics),5.295000000000000
Bruce_Banner,5.784545454545450
Rebecca_Banner,5.490444104134760
Brian_Banner,5.555857026807470
Baron_Blood,5.70800451807229
Baron_Brimstone,5.711355311355310
Baron_Mordo,5.668299595141700
Baron_Zemo,5.821641249092230
Barracuda_(comics),5.860000000000000
Dark_Riders_(comics),5.533636363636360
Turk_Barrett,5.674444444444450
Breeze_Barton,5.916033333333330
Bast_(Marvel_Comics),6.109289044289050
Bastion_(comics),5.677167774086380
Batroc_the_Leaper,5.869904815229560
Battlestar_(comics),5.435714285714290
Batwing_(Marvel_Comics),5.723303085299460
Baymax,6.123269736842110
Beast_(comics),5.348333333333330
Beautiful_Dreamer_(Marvel_Comics),6.0257512953367900
Bedlam_(comics),5.791774193548390
Beef_(comics),7.08
Beetle_(comics),5.797838014369690
Bela_(comics),5.806428571428570
Belasco_(Marvel_Comics),5.720844645550530
Bella_Donna_(comics),5.749688041594450
Bengal_(comics),5.466000000000000
Dexter_Bennett,5.8500000000000000
Bereet,6.1086510263929600
Berzerker_(comics),7.08
Beta_Ray_Bill,5.675008156606850
Beyonder,5.701227071473750
Bi-Beast,5.750290023201860
Big_Bertha_(comics),5.591666666666670
Big_Man_(comics),5.6661072261072300
Big_Wheel_(comics),5.618571428571430
Bird-Brain_(Marvel_Comics),6.111046025104600
Bird-Man,5.94
Bishop_(Marvel_Comics),5.682545103092780
Bison_(comics),5.2683333333333300
Black_Bolt,5.865683012259200
Black_Box_(comics),5.64
Black_Cat_(Marvel_Comics),5.891615836019510
Black_Crow_(comics),5.3757142857142900
Black_Fox_(Raul_Chalmers),5.765
Black_Jack_Tarr,5.704072847682120
Black_Knight_(comics),5.736
Black_Mamba_(comics),5.368333333333330
Black_Marvel,5.821803278688530
Black_Panther_(character)|T'Challa_(Marvel_Cinematic_Universe),5.9764036106890700
Black_Racer_(Marvel_Comics),5.43
Black_Rider_(comics),5.47
Black_Spectre_(Carson_Knowles),4.88
Black_Swan_(comics),5.707536496350370
Black_Talon_(comics),5.659621342512910
Black_Tarantula,5.584278026905830
Black_Tom_Cassidy,5.825694177863080
Black_Widow_(Marvel_Comics),5.892227687983130
Blackheart,5.787045060658580
Whiplash_(Mark_Scarlotti),6.28
Blacklight_(MC2),5.367142857142860
Blackout_(Marcus_Daniels),5.782131495228000
Blackwing_(character),5.829834938101790
Blade_(character),5.719158569762920
Thor_(Marvel_Comics),5.930318621932000
Blank_(comics),6.0600000000000000
Blastaar,5.59851724137931
Siena_Blaze,5.7285630498533700
Blazing_Skull,5.79364705882353
Blindfold_(comics),5.602027797576620
Blindspot_(comics),5.831576971214020
Bling!,5.581111111111110
Blink_(comics),5.4433333333333300
Bliss_(Marvel_Comics),7.08
Blizzard_(Marvel_Comics),5.634926326129670
Blob_(comics),5.672222222222220
Blockbuster_(Marauder),6.064343163538870
Blonde_Phantom,5.979416666666670
Blood_Brothers_(comics),5.716069295101550
Bloodaxe_(comics),5.466000000000000
Bloodhawk,5.731333333333330
Bloodscream,5.485348148148150
Bloodshed_(comics),5.466000000000000
Cullen_Bloodstone,5.697132075471700
Elsa_Bloodstone,5.8736335877862600
Ulysses_Bloodstone,5.750262954369680
Bloodstrike_(Marvel_Comics),5.992629310344830
Blue_Diamond_(comics),5.787142857142860
Blue_Eagle_(comics),5.595714285714290
Blue_Marvel,5.922931034482760
Blue_Shield_(comics),5.535714285714290
Blue_Streak_(comics),5.851386430678470
"Bob,_Agent_of_HYDRA",5.33375
Elias_Bogan,5.7753061224489800
Chris_Bradley,5.668815789473690
Bonebreaker,5.80705035971223
Alexander_Bont,5.795335929892890
